day,status,important_achievements,productiveness,date,day_id,Article reading,Car sales project,Coding Interview Prep,Coding challenge,College programming,DiveAI,Event,Freelancer,ISLR,ImageProcessing,Internship,Interview,ML Job,Machine Learning,Networking,PROJECT,PowerBI,Programming,Python,R,SQL,Video Lecture
ONE,0,https://youtu.be/-uleG_Vecis?si=JsJETaY7bU6JsAOZ,3,2024-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
TWO,0,No,3,2024-01-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
THREE,0,No,4,2024-01-22,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FOUR,0,No,2,2024-01-23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FIVE ,0,https://www.youtube.com/watch?v=kKvK2foOTJM,3,2024-01-24,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SIX ,1,Inivitation to data science interview,3,2024-01-25,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SEVEN,1,Completed PowerBI report,4,2024-01-26,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
EIGHT,1,Completed Linear Regression Machine Learning Assignment job in Freelancer,3,2024-01-27,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NINE,1,No,3,2024-01-28,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
TEN,1,Romboost Interview,4,2024-01-29,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
ELEVEN,1,No,1,2024-01-30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWELVE,0,This day I learned so many things in R,4,2024-01-31,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
THIRTEEN,1,No,3,2024-02-01,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOURTEEN,0,No,4,2024-02-02,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FIFTEEN,1,No,3,2024-02-03,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SIXTEEN,0,No,3,2024-02-04,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SEVENTEEN,1,Finished Romboost coding challenge,2,2024-02-05,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIGHTEEN,0,Romboost send challenge,2,2024-02-06,18,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
NINETEEN,1,No,3,2024-02-07,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
TWENTY,0,No,2,2024-02-08,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
TWENTY-ONE,1,https://towardsdatascience.com/six-books-that-have-shaped-my-data-career-8d9db9a40691,1,2024-02-09,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWENTY-TWO,1,https://sandra-maria-machon.medium.com/6-statistical-terms-i-wish-i-knew-before-starting-my-first-data-science-job-5c454991ac1c,1,2024-02-10,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWENTY-THREE,1,https://youtu.be/TkwXa7Cvfr8?si=RWe1Tm0l3y-Vw_R4,2,2024-02-11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TWENTY-FOUR,1,https://medium.com/@nitin.data1997/p-value-explained-to-a-10-year-old-kid-bc9649c32dd2,1,2024-02-12,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWENTY-FIVE,1,No,2,2024-02-13,25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
TWENTY-SIX,1,No,2,2024-02-14,26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
TWENTY-SEVEN,1,No,2,2024-02-15,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
TWENTY-EIGHT,1,No,3,2024-02-16,28,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
TWENTY-NINE,1,No,3,2024-02-17,29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
THIRTY,1,Send image processing hw3 for revision,4,2024-02-19,30,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
THIRTY-ONE,0,No,3,2024-02-19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
THIRTY-TWO,1,Image processing HW3 deadline,1,2024-02-20,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THIRTY-THREE,0,No,3,2024-02-21,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
THIRTY-FOUR,1,No,2,2024-02-22,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THIRTY-FIVE,1,No,1,2024-02-23,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THIRTY-SIX,1,No,1,2024-02-24,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THIRTY-SEVEN,1,No,2,2024-02-25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THIRTY-EIGHT,1,No,1,2024-02-26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THIRTY-NINE,1,No,2,2024-02-27,39,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
FORTY,1,No,3,2024-02-28,40,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
