day_id,daily_overview
1,"I am continuing my analysis of time spent in apps and web pages across all my devices, today I fixed some errors and re-uploaded the data to my SQLServer database, tomorrow I will be starting to make the PowerBI report for the project more seriously. In addition, I started a mini project in Kaggle to  enhance my coding skills in R and practices grammar. I also watched an amazing video from Fireship regarding to know about the fundamentals of programming to face the new technologies."
2,"Today, I uploaded the data I’m using in my current project of analysis to Kaggle, this way the community can uncover insights I have not seen. Also, I fixed minor errors and made some PowerBI tables and graphs. Most important, I re-learned how to create tables in PowerBI with Python scripts, the language I’m more used to. Ready to learn some DAX in the next days."
3,"I left some time ago this amazing book: An introduction to statistical learning, but today I reopened it to better understand the sintaxis of R while I’m learning new and important statistical concepts. Also, I tried to run these R notebooks in VSCode, but I did not manage to do that, there is some problem with my coding environment which I wish to solve soon."
4,"Today, it was filled of An introduction to statistical learning day, I learned so much about applied linear regression in R and some more important functions. I also progress a bit in the PowerBI model, just as yesterday."
5,"My journey throught R is better everyday. Now, I know how to compute more or less complex graphs using the ggplot2 library and I have done the principal tasks when starting an EDA, (exploratory data analysis) and the cleaning stage, like looking for duplicates, null values and renaming columns to achieve a normalization of the database. 

Also, and most important, I got my first job in the Freelancer platform, is about an assignment of introduction to Machine learning, I thinks is for college."
6,"My day was all about coding statistics and specifically machine learning statistics theory. As part of a college job, I have been tasked with this amazing oportunity to refine my statistical knowledge about some of the most common machine learning models such as linear regression, knn and naive bayes. This oportunity complements perfectly with the learning process I have been getting from the An introduction to statistical learning book the past few days.
I had not the time to progress in any of my recent projects, but I think this is of great value.

ALSO, AND MOST IMPORTANT, I GOT MY FIRTS INVITATION TO A  DATA SCIENCE INTERVIEWWWW, which of course I have accepted alredy, it will be on Monday 29 at 11:30 a.m and I’m so THRILLEDDDDDD for this opprtunity."
7,"Completed the PowerBI firts report about my project analyzing trends and data about usage time in my devices. Also, I made a lot of progress in the statistics and Machine learning assignment, specifically implementing from scratch a KNN model to classify tweets in different categories and testing accuracy."
8,"Completed the Machine learning assignment, the last part was about Gaussian Naive Bayes classifier and was a total success to gain experience in this useful classifier."
9,"Today, I was practicing a lot of SQL queries in SQL Server, specifically retrieving key insights about my data in the usage of devices project that was not in the PowerBI report. A key insight was the average time in hours that I spend in both web devices and phone combined. Also, I’m using AI text-to-text copilot to enhance my writing in SQL and ident in the correct way so it is understood more easily by everyone. I also made a video talking about what I did yesterday and today in this challenge in english to practice my improvising skills."
10,"Today, I made progress in the ISLR, (an introduction to statistical learning) book. Specifically, I got to the point of conceptual excercises about the chapter three, Linear regression.

Also, I had the interview and it was PRETTY GREAT. They gave me a coding challenge that I have to send before Tuesday 6 January. "
11,"I only made a Notion database to have a record of the scientific papers I read, and I learned how to do automations to the database."
12,"Today was an R day. I programmed many lines of code in this incredible programming language for statistics and data treatment, it is amazing how things that we do in Python with data simplify more in R. This R programming day was all about the ISLR book, specifically the literal 8 of applied exercises in the third chapter, Linear Regression. 
I achieved more knowdlege abot plotting with the main and the ggplot2 libraries, and I runned an analysis of a simple linear regression model.

Also, I made progress in the coding challenge for romboost."
13,"As I’m actually working on a coding challenge in Python, today I progress so much merging branches in git about data exploration and ML model creation."
14,"Today, I learned how to use If statements and for loops in R. Specifically, I managed to implement it in the car dataset I’m analyzing in Kaggle, computing different histograms only for the numerical columns and selecting columns that were not ‘phone’, as well as I’m doing the outlier treatment analyzing kurtosis and skewness of the data, this is called full  distribution analysis. Also, I have been coding so much these days, it is show by my github commits graph."
15,It was all about programming today. I converted Jupyter notebooks to Python scripts and learned more than what I knew about API’s data retrieval.
16,"Today, I learned how to implement the table function in R in a kagglr notebook. Also, I did a lot of python coding and docker. "
17,"I have finished the project I have been working lately, probably soon I will upload it as a whole post."
18,"I made a little bit of progress in the ISLR book creating pairplots with the ggplot2 library in R. Also, I am working on an Image processing project for a client, it is about solving puzzles of pieces of images that have to be stiched together to form the bigger picture. I am making this with OpenCV library and it has been a great project to investigate more about the functionalities of OpenCV in a deep way.

Also, I send the Romboost challenge :D"
19,"Today, I finished the Image processing work and watch different videos about statistics in data science"
20,"I made some progress in the An introduction to statistical learning book and programmed some basic linear models in R. Also, I solved some programming problems in class specifically training my problem-solving skills."
21,For day 21 of my #100DaysOfData I read a Medium Article in the Towards Data Science journal about six books to better understand data big topics and derive miningful insights from your work.
